1,MIAMI BEACH BOWL,11.5,Tulsa,Central Michigan,1,1
2,BOCA RATON BOWL,4.5,Western Kentucky,Memphis,1,1
3,POINSETTIA BOWL,8.5,BYU,Wyoming,1,1
4,IDAHO PATATO BOWL,13.5,Colorado State,Idaho,1,0
5,BAHAMAS BOWL ,3.5,Old Dominion,Eastern Michigan,1,1
6,ARMED FORCES BOWL,1,Navy,Louisiana Tech,1,0
7,DOLLAR GENERAL BOWL ,3.5,Troy,Ohio,1,1
8,HAWAII BOWL ,0,Hawaii,Middle Tenn State,1,1
9,ST PETERSBURG BOWL,12.5,Mississippi St,Miami (Ohio),1,1
10,QUICK LANE BOWL,1.5,Maryland,Boston College,1,0
11,INDEPENDENCE BOWL,4,North Carolina State,Vanderbilt,1,1
12,HEART OF DALLAS,10,Army,North Texas,1,1
13,MILITARY BOWL,13,Temple,Wake Forest,1,0
14,HOLIDAY BOWL,6.5,Washington State,Minnesota,1,0
15,CACTUS BOWL,8,Boise State,Baylor,1,0
16,PINSTRIPE BOWL,5,Pittsburgh,Northwestern,1,0
17,RUSSELL ATHLETIC BOWL,3,Miami,West Virginia,1,1
18,FOSTER FARMS BOWL,7.5,Utah,Indiana,1,1
19,TEXAS BOWL,2,Texas A&M,Kansas State,1,0
20,BIRMINGHAM BOWL,10.5,South Florida,South Carolina,1,1
21,BELK BOWL,7,Virginia Tech,Arkansas,1,1
22,ALAMO BOWL,3,Colorado,Oklahoma State,1,0
23,LIBERTY BOWL,1,Georgia,TCU,1,1
24,SUN BOWL,3.5,Stanford,North Carolina,1,1
25,MUSIC CITY BOWL,3,Tennessee,Nebraska,1,1
26,ARIZONA BOWL,13,Air Force,South Alabama,1,1
27,ORANGE BOWL,6.5,Michigan,Florida State,2,0
28,CITRUS BOWL,3,LSU,Louisville,1,1
29,TAXSLAYER.COM GATOR,4,Georgia Tech,Kentucky,1,1
30,PEACH BOWL,16,Alabama,Washington,2,1
31,FIESTA BOWL,3,Ohio State,Clemson,2,0
32,OUTBACK BOWL,2.5,Florida,Iowa,1,1
33,COTTON BOWL,7.5,Wisconsin,Western Michigan,2,1
34,ROSE BOWL,7,USC,Penn State,2,1
35,SUGAR BOWL,4.5,Oklahoma,Auburn,2,1
