Barkside Ballers,Vibe-free since '73,Dazed and Confoosballed,Sascha Picks Dogs,The New Mendoza Line,Sherrone Moore's Bad Day,Momma Longhorn,bugaroo,Sierra LeCat Dowdle
1,0,1,0,0,1,0,0,0
1,1,1,0,0,1,0,1,1
0,0,0,0,1,0,1,0,0
0,0,1,0,1,0,1,1,0
0,1,1,0,0,1,1,1,0
1,1,1,0,1,0,1,1,0
0,0,0,0,1,0,0,1,0
1,1,1,0,1,0,1,1,0
0,1,1,0,0,1,0,1,1
0,1,1,0,1,0,1,1,0
1,0,1,0,1,0,1,1,0
1,1,1,0,1,0,1,1,0
0,1,1,0,1,0,0,0,1
1,1,1,0,1,0,1,1,0
1,1,1,0,1,0,1,1,0
1,1,0,0,1,0,1,1,0
0,1,1,0,0,1,0,0,0
1,1,1,0,1,0,1,1,0
1,1,1,0,0,1,0,0,0
1,1,1,0,1,0,1,1,0
1,1,1,0,1,0,0,1,0
1,0,0,0,0,1,1,0,1
1,1,1,0,1,0,1,1,0
1,1,1,0,0,1,0,1,0
0,1,1,0,1,0,1,1,0
0,1,1,0,1,0,1,1,0
0,1,1,0,0,1,1,1,0
1,1,0,0,0,1,1,1,1
1,1,1,0,1,0,1,1,0
1,1,1,0,1,0,1,1,0
1,1,1,0,1,0,1,1,1
0,1,1,0,1,0,1,1,0
0,1,1,0,0,1,0,1,1
1,1,1,0,1,0,1,1,0
0,1,1,0,1,0,1,1,0
1,1,1,0,0,0,0,0,1
1,1,1,0,1,0,1,1,0
0,1,0,0,0,1,0,0,0
0,1,1,0,1,0,1,1,1
0,0,1,0,0,1,1,1,1
0,1,1,0,1,0,0,1,0
