1,MYRTLE BEACH BOWL,4.5,Western Michigan,Kennesaw State,1,1
2,UNION HOME MORTGAGE GASPARILLA BOWL,6,NC State,Memphis,1,1
3,FAMOUS IDAHO POTATO BOWL,3,Utah State,Washington State,1,-1
4,BUSH'S BOCA RATON BOWL,8.5,Louisville,Toledo,1,-1
5,NEW ORLEANS BOWL,4,Western Kentucky,Southern Miss,1,-1
6,SCOOTER'S COFFEE FRISCO BOWL,4.5,UNLV,Ohio (Bobcats),1,-1
7,SHERATON HAWAIʻI BOWL,1.5,California,Hawaii,1,-1
8,GAMEABOVE SPORTS BOWL,10.5,Northwestern,Central Michigan,1,-1
9,RATE BOWL,2.5,Minnesota,New Mexico,1,-1
10,FIRST RESPONDER BOWL,8.5,UTSA,Florida International,1,-1
11,MILITARY BOWL,4.5,Pittsburgh,East Carolina,1,-1
12,PINSTRIPE BOWL,4.5,Clemson,Penn State,1,-1
13,FENWAY BOWL,6.5,Army,Uconn,1,-1
14,SNOOP DOG ARIZONA BOWL,3.5,Fresno State,Miami (OH),1,-1
15,POP-TARTS BOWL,4.5,BYU,Georgia Tech,1,-1
16,NEW MEXICO BOWL,3.5,North Texas,San Diego State,1,-1
17,GATOR BOWL,6.5,Missouri,Virginia,1,-1
18,TEXAS BOWL,3,Houston,LSU,1,-1
19,BIRMINGHAM BOWL,4,Georgia Southern,Appalachain State,1,-1
20,INDEPENDENCE BOWL,6.5,Louisiana Tech,Coastal Carolina,1,-1
21,MUSIC CITY BOWL,4.5,Tennessee,Illiniois,1,-1
22,ALAMO BOWL,6.5,USC,TCU,1,-1
23,RELIAQUEST BOWL,5.5,Vanderbilt,Iowa,1,-1
24,SUN BOWL,1.5,Duke,Arizona State,1,-1
25,CITRUS BOWL,7.5,Texas,Michigan,1,-1
26,LAS VEGAS BOWL,16.5,Utah,Nebraska,1,-1
27,ARMED FORCES BOWL,10.5,Texas State,Rice,1,-1
28,LIBERTY BOWL,4.5,Cincinnati,Navy,1,-1
29,DUKE'S MAYO BOWL,2.5,Mississippi State,Wake Forest,1,-1
30,HOLIDAY BOWL,3,Arizona,SMU,1,-1
31,CFP First Round,1.5,Oklahoma,Alabama,2,-1
32,CFP First Round,3.5,Texas A&M,Miami,2,-1
33,CFP First Round,17.5,Ole Miss,Tulane,2,-1
34,CFP First Round,21.5,Oregon,James Madison,2,-1
35,CFP Quarterfinal (Cotton),0,Ohio State,ATM or Miami,3,-1
36,CFP Quarterfinal (Orange),0,Texas Tech,ORE or JM,3,-1
37,CFP Quarterfinal (Rose),0,Indiana,AL or OK,3,-1
38,CFP Quarterfinal (Sugar),0,Georga,Ole Miss or Tulane,3,-1
39,CFP Semifinal (Fiesta),0,Ohio/ATM/Miami,GA/Ole Miss/Tulane,4,-1
40,CFP Semifinal (Peach),0,Texas Tech/ORE/JM,Indiana/AL/OK,4,-1
41,NATIONAL CHAMPIONSHIP,0,Winner of Peach Bowl,Winner of Fiesta Bowl,5,-1
