1,QUICK LANE BOWL,7.5,Western Michigan,Nevada,1,1
2,BIRMINGHAM BOWL,2.5,Auburn,Houston,1,0
3,FIRST RESPONDER BOWL,1.5,Louisville,Air Force,1,0
4,LIBERTY BOWL,9.5,Mississippi State,Texas Tech,1,0
5,GUARANTEED RATE BOWL,1.5,Minnesota,West Virginia,1,1
6,PINSTRIPE BOWL,3.5,Maryland,Virginia Tech,1,1
7,CHEEZ-IT BOWL,1,Clemson,Iowa State,1,1
8,ALAMO BOWL,4.5,Oklahoma,Oregon,1,1
9,DUKE'S MAYO BOWL,9,North Carolina,South Carolina,1,0
10,MUSIC CITY BOWL,5,Tennesse,Purdue,1,0
11,PEACH BOWL,2.5,Michigan State,Pittsburgh,2,1
12,LAS VEGAS BOWL,6.5,Wisconsin ,Arizona,1,1
13,GATOR BOWL,11.5,Wake Forest,Rutgers,1,1
14,COTTON BOWL ,13.5,Alabama,Cincinnati,2,1
15,ORANGE BOWL,7.5,Georgia,Michigan,2,1
16,OUTBACK BOWL,1,Penn State,Arkansas,1,0
17,CITRUS BOWL,3,Kentucky,Iowa,1,1
18,FIESTA BOWL,1.5,Notre Dame,Oklahoma State,2,0
19,ROSE BOWL,6.5,Ohio State,Utah,2,1
20,SUGAR BOWL,1,Ole Miss,Baylor,2,0
21,TEXAS BOWL,3.5,Kansas State,LSU,1,-1
