#blamejameis,#Mama Bear,A Real Quandre,Admiral Akbar,Aggie Fan,Always Lucky,AshSenders,Bears,Beaver Believer?,Blaster,Blindhog2015,Bobcats,Brock,C+C Music Factory,Casa S and S,Coin Toss,Colonel Kurtz,Colt45,Cowboy,Cutie Pie,Dallas Cowboys,D-Bo,Deakins,Detroit Lions,Eclipse,Endless Shrimp,Everest,EVITA,Father Knowsw Best,Gigi-Dawg,Griswald,Gusstsue,Hamburger,Hapa Girl,HarbaughComeHome,Hilltopers,Hula Gal,Iron Man,Islandman 3,Jake & The Neverland Pirates,Jewels on Fire,Just4Fun,KZ,Lauren.e.f,Mango Sorbet,Mimi,Mr. Gamblerer,Mrs. Gamblerer,Oceans 11,Oh Pooh,Optimus Prime,OSUKristi,Panda Bear,Perfect Spiral,poodlypoodlehair,Positive Vibrations,Repo Man,Santa Cruz Bill ,Seahawk 12 Fan,SoCalGal,SuperGrammyMops,Supplemental Income,TDub10%,Teach Rachel,Team Underdog,Tequila Mockingbird,The Interview (Sony Pictures),The Spiderman,The Winning Formula,Troll Doctor,Tyler Rose,Virgil Cain 1,Virgil Cain 2,War Beaver,War Eagle,West Coast Bias,Yoda
M,M,M,M,MS,MS,M,N,M,M,N,MS,N,M,M,MS,M,MS,N,N,N,M,MS,M,MS,N,M,M,MS,M,M,M,M,M,M,M,N,N,M,M,M,MS,MS,M,M,M,MS,NS,M,N,M,N,M,M,M,M,M,M,MS,MS,MS,MS,M,M,MS,M,MS,M,M,M,MS,M,M,M,N,M,N
N,N,N,S,N,S,N,S,S,S,N,N,S,S,S,N,N,S,S,S,N,S,N,S,S,S,N,SS,S,N,S,N,N,S,N,S,S,N,S,S,SS,N,S,S,S,S,N,S,S,N,N,N,N,N,S,S,S,N,S,S,S,N,S,S,N,S,S,N,S,S,N,N,S,S,S,S,N
W,W,C,C,C,C,C,C,W,C,W,C,C,C,C,W,C,W,W,W,W,W,W,W,W,C,W,C,C,W,W,W,W,W,W,WS,W,W,C,W,W,W,W,W,W,C,W,C,W,C,C,W,W,C,C,C,C,C,C,W,C,C,W,C,W,W,W,W,W,W,C,O,W,W,C,C,C
F,R,F,R,R,R,R,R,R,F,R,R,R,F,F,F,R,R,F,F,R,R,R,RS,R,F,F,R,R,R,F,R,R,R,F,F,F,R,F,F,R,R,F,R,R,R,F,R,F,FS,R,F,R,R,R,F,R,F,R,F,R,R,R,R,R,R,F,R,F,F,R,F,F,F,R,R,F
I,I,L,I,I,L,I,L,L,L,L,L,L,L,L,L,L,L,L,L,I,L,L,L,I,L,L,L,L,I,I,L,I,L,L,I,L,I,L,L,L,I,L,L,L,L,I,L,L,I,L,I,L,L,L,L,I,L,L,L,L,LS,I,L,I,L,L,L,L,L,L,I,I,L,L,L,L
N,N,N,N,N,R,R,N,N,N,R,R,N,N,N,N,R,N,R,N,N,R,N,N,N,R,N,R,N,N,N,N,R,N,R,N,R,N,N,R,N,R,N,R,N,N,R,N,N,R,N,N,N,R,R,N,R,R,R,R,R,N,N,R,R,R,R,N,R,N,N,R,N,N,R,R,N
U,N,U,U,U,U,U,U,U,N,U,U,N,N,N,U,U,U,U,U,U,U,U,N,N,U,U,N,U,N,U,U,U,U,U,N,U,N,N,U,U,N,U,N,U,N,U,N,U,N,N,U,N,N,N,U,N,U,N,U,U,U,U,U,U,N,U,U,U,U,N,N,N,U,U,U,N
V,C,C,V,V,C,V,C,V,V,V,C,V,V,C,C,C,V,V,V,C,C,V,C,V,C,C,V,V,V,C,C,V,C,C,V,C,CS,V,V,V,C,C,V,C,C,V,C,C,V,V,V,C,V,V,V,C,C,V,V,V,C,C,C,V,C,V,V,C,C,V,C,C,V,C,C,V
D,A,A,A,A,A,A,A,D,A,AS,D,A,AS,A,A,D,A,A,A,AS,A,A,D,D,AS,A,D,A,D,A,D,A,D,A,A,AS,AS,A,A,A,A,D,A,AS,A,A,D,A,D,D,AS,A,A,A,D,AS,AS,A,A,A,D,A,D,D,D,A,A,A,A,D,D,A,A,A,AS,D
M,M,M,S,M,M,M,M,S,M,S,S,S,M,S,M,M,M,S,M,M,M,M,M,S,S,M,M,M,S,S,M,M,S,M,M,M,S,M,M,S,M,M,M,M,S,M,S,M,S,M,M,M,M,M,M,S,M,M,S,M,M,M,MS,S,S,S,M,M,S,M,S,S,M,S,S,M
B,B,P,P,P,P,B,B,P,B,P,B,P,B,B,P,B,B,B,B,P,B,B,B,P,B,B,P,P,P,P,B,B,PS,P,B,B,P,P,P,P,B,B,B,B,P,P,B,B,PS,B,B,P,B,B,B,B,P,B,B,B,P,P,B,B,P,B,B,P,B,B,B,B,P,P,B,B
U,U,U,U,US,U,N,U,US,U,U,U,U,N,U,U,U,U,US,US,US,US,U,U,U,U,U,U,U,N,N,U,U,U,US,US,US,US,N,U,U,U,U,U,U,N,U,N,US,N,US,U,U,U,U,N,N,US,U,US,U,US,U,N,N,U,U,U,U,U,U,U,U,US,U,U,U
T,W,W,W,T,T,W,TS,W,T,W,T,W,T,T,W,W,T,T,T,W,T,T,T,W,W,T,T,T,W,W,W,W,W,T,W,T,T,W,T,T,W,T,T,W,T,W,T,T,T,T,W,W,W,T,T,T,W,W,T,T,T,T,TS,W,W,T,T,T,T,W,W,W,W,W,T,T
O,O,O,C,O,O,C,O,C,C,O,O,O,O,C,O,C,O,O,C,O,O,O,O,C,C,C,C,C,C,O,C,C,C,C,C,C,O,O,O,O,C,C,O,O,O,O,C,O,CS,O,O,O,O,O,C,O,O,C,O,C,O,O,O,C,C,O,O,O,C,O,O,O,O,C,C,C
T,TS,A,T,A,T,T,T,A,A,A,A,A,T,A,A,AS,A,T,T,T,T,A,T,A,T,AS,T,A,T,A,A,AS,A,A,T,T,T,TS,A,T,T,A,A,A,T,T,A,A,T,A,T,A,T,T,A,T,AS,A,T,A,A,T,T,T,AS,T,A,A,A,T,T,A,A,AS,A,T
L,N,N,L,L,L,L,L,L,L,N,L,LS,L,L,N,LS,L,N,LS,L,L,L,N,N,LS,L,L,L,N,L,L,LS,L,L,L,L,L,N,N,L,L,L,L,L,N,L,N,L,N,N,N,L,L,L,L,L,L,L,L,LS,L,L,NS,L,L,N,L,LS,LS,L,L,L,L,L,L,L
L,G,GS,G,G,L,L,G,L,G,G,G,G,GS,L,G,G,L,L,G,G,G,L,G,G,L,G,G,G,G,G,G,G,G,G,G,G,L,G,G,G,L,G,G,G,G,GS,L,G,L,L,GS,G,G,G,L,G,G,G,G,G,G,G,G,G,L,G,L,L,G,G,G,G,G,G,L,L
SS,S,M,SS,SS,SS,S,M,SS,SS,SS,S,SS,SS,SS,M,M,SS,SS,S,M,S,SS,S,SS,M,SS,S,SS,S,S,SS,S,S,SS,SS,S,S,S,SS,S,SS,SS,SS,S,SS,SS,M,SS,M,S,S,SS,SS,SS,SS,M,SS,S,SS,S,S,SS,M,SS,S,SS,SS,SS,S,SS,SS,SS,SS,SS,SS,SS
