Aggies,Beach Bum,Beaver Believer,Bernie Trump,Billy Bad,Billy Bad 2nd,Blind Prognosticators,Blondy,BROCOHLI !!!!!,BUBBA,Captain,Clairvoyantsmith,Corgidawg,Cotton Headed Ninny Muggins,COUGAR,Cowboy,D-bo,Deakins,Devil's Tower,Eclipse,EL CAPITAN,FF ,FIELDS OF WHEAT,Frog Man 4Ever,GMen,Go Frogs,GODIVA,Going Bowling,Groodle,GUAC BOYZ,Gussysue,HALF DOME,HAM BEAST,Hou Dat,Hui Mama,Hunter 55,Jake & the Neverland Pirates,JessePinkman,Julia,KROB15,Lucky in 2016,LumberSexual,Magnitogorsk,Mama Bear,Opposite of Dad,Oregon Okie,Perfect Spiral,Pooh,POPO,Rocket Surgeon,Santa Cruz Bill,Shi boa,Slave Darby,Spartans,Spiker,"Steve Harvey's ""Columbia""",Sure Thing,Surf,Tan Mei yi ,Team Aaron,Texas State,Texas Women,Texsons,The Force Awakens,Trojans,Trollotopia,TTRedRaider09,West Coast Bias,Yellowstone ,Yoda
U,U,U,U,U,U,U,U,A,U,U,A,U,U,U,U,U,U,A,U,A,A,A,U,A,U,U,U,U,A,U,A,U,U,U,U,U,U,U,U,U,U,A,U,A,U,U,A,U,U,U,U,U,U,U,U,U,U,U,U,A,U,A,U,U,U,U,U,A,U
TE,TO,TE,TE,TO,TO,TE,TE,TO,TE,TE,TE,TE,TE,TE,TE,TE,TE,TE,TO,TE,TO,TE,TE,TE,TO,TE,TE,TE,TE,TE,TE,TO,TE,TO,TO,TO,TE,TE,TE,TE,TO,TE,TE,TO,TO,TE,TO,TO,TO,TO,TO,TE,TE,TO,TE,TE,TO,TO,TE,TE,TE,TE,TE,TE,TE,TE,TE,TE,TE
B,B,B,N,B,B,B,B,B,B,B,N,B,B,B,N,B,N,N,B,B,B,B,N,N,B,B,B,N,B,B,N,B,B,B,B,B,BS,B,B,B,B,B,B,N,B,B,N,B,N,BS,B,B,B,B,B,B,B,B,B,N,BS,B,N,BS,B,B,B,B,N
B,G,B,B,B,B,G,B,G,B,G,B,G,G,B,G,B,B,BS,B,BS,G,B,B,B,B,G,B,G,B,B,BS,B,G,B,B,B,B,B,G,G,B,B,B,GS,B,G,G,B,G,B,B,B,B,B,B,G,B,B,B,B,B,B,G,B,B,G,B,BS,G
W,W,W,W,M,M,M,W,M,W,W,M,W,M,M,W,W,M,W,W,W,W,W,W,M,W,W,W,W,W,W,W,W,M,W,W,M,W,W,W,W,WS,M,W,M,W,W,M,W,W,W,W,W,W,W,W,M,W,M,M,M,W,W,M,W,W,M,W,W,M
S,S,C,S,C,S,C,C,S,C,S,S,S,S,S,S,C,S,S,S,C,S,S,C,S,S,S,S,C,S,C,C,S,S,S,S,S,S,SS,S,S,S,S,C,C,C,S,SS,S,C,S,S,S,S,C,S,S,C,S,C,S,S,C,S,S,S,S,S,S,C
M,M,M,C,C,C,C,M,C,M,M,M,M,M,C,C,M,M,M,C,M,M,M,C,M,M,M,M,C,M,C,M,M,M,C,C,M,M,M,M,C,C,M,M,M,M,M,C,C,M,M,C,C,M,M,M,M,M,M,C,M,C,C,C,C,M,C,C,M,C
M,W,WS,W,M,M,W,W,WS,W,M,W,W,M,M,W,M,W,W,W,W,M,M,M,W,M,W,W,W,M,M,W,W,W,W,M,M,W,W,M,W,W,M,W,M,W,M,M,W,M,W,W,W,M,W,W,M,M,W,WS,M,W,W,W,W,W,M,W,W,W
S,S,W,WS,W,W,W,W,W,W,W,W,WS,W,W,WS,S,S,W,W,W,S,WS,W,S,W,W,W,S,W,W,W,W,S,W,W,W,W,W,S,S,W,S,S,WS,W,W,S,W,WS,WS,W,W,S,W,S,S,S,W,W,W,W,W,WS,S,W,W,W,W,S
I,D,D,I,D,D,D,I,I,I,D,D,I,D,I,I,D,I,I,D,IS,I,I,I,I,D,I,D,D,I,D,IS,I,D,DS,D,D,D,I,I,D,D,D,I,I,D,I,D,D,D,D,DS,D,D,D,D,D,D,D,D,D,D,D,I,D,I,D,D,I,D
VS,V,V,T,VS,V,VS,V,VS,VS,V,VS,VS,VS,V,V,VS,T,VS,VS,V,VS,VS,V,T,V,V,VS,V,VS,VS,V,VS,V,V,V,V,VS,V,V,VS,V,T,V,TO,V,V,T,V,VS,VS,V,VS,V,V,V,T,T,V,VS,VS,VS,VS,T,V,V,VS,V,VS,V
U,U,N,U,U,U,N,U,N,U,U,U,U,U,U,N,U,N,N,U,N,US,U,N,U,U,N,U,U,N,U,N,N,U,U,U,N,U,U,N,U,N,U,U,U,U,U,N,N,U,U,N,US,U,U,U,N,US,U,U,U,U,U,N,N,N,U,U,N,U
P,N,N,P,P,P,N,N,P,N,N,N,N,P,N,N,NS,N,N,P,N,P,P,N,P,P,N,N,N,N,N,N,N,NS,P,N,N,N,N,N,N,P,P,N,N,N,N,P,P,P,N,P,P,N,N,N,P,N,P,P,P,N,N,P,P,N,P,N,N,P
C,C,M,C,M,M,M,M,M,M,C,C,C,M,M,M,M,M,M,M,M,C,C,M,M,M,C,M,C,M,M,M,M,C,M,M,M,C,M,M,C,CS,M,M,M,M,C,C,M,M,M,C,M,M,M,C,C,M,M,C,M,M,C,C,C,M,M,M,M,M
C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,A,A,C,C,C,C,C,C,A,C,C,C,C,C,C,C,C,C,A,C,C,C,C,A,CS,C,C,C,C,C,C,A,C,C,C,A,C,A,C,C,C,C,C,C,C,A,C,C,A,CS,C,A,C,C
B,B,N,B,B,N,N,B,N,N,B,NS,N,N,B,B,B,N,N,B,N,N,B,N,N,B,N,N,B,N,N,N,N,N,N,N,N,N,B,B,B,B,N,BS,B,B,N,N,B,B,N,N,B,B,B,B,B,B,B,B,N,B,N,B,N,N,N,B,N,B
C,C,N,C,C,N,N,C,N,C,C,N,C,N,N,C,C,C,C,N,C,N,N,C,C,N,C,C,C,N,C,C,N,C,N,N,N,C,C,C,N,C,C,C,N,C,C,N,C,C,N,N,C,C,C,C,C,C,N,N,C,C,C,N,C,C,N,N,C,N
T,L,LS,L,LS,L,L,L,L,LS,L,T,L,L,L,L,T,LS,L,L,L,LS,L,LS,LS,LS,L,L,L,L,L,L,LS,LS,L,L,L,L,L,LS,L,L,L,T,TO,L,L,T,LS,L,L,L,T,LS,L,L,L,L,T,LS,LS,T,LS,L,L,L,LS,L,L,L
M,M,A,M,A,M,A,A,A,A,A,M,A,M,M,M,M,A,M,M,M,M,A,A,M,AS,M,M,M,M,A,M,A,M,A,A,A,M,AS,AS,M,A,A,A,M,A,M,M,M,A,M,A,A,M,A,M,A,A,AS,A,A,A,M,M,A,A,A,A,M,A
M,N,M,M,M,N,M,M,N,M,M,M,N,M,M,M,M,N,N,M,N,M,N,M,M,N,M,M,M,M,M,N,M,N,N,M,M,M,M,M,M,M,M,MS,M,M,M,N,M,M,M,N,M,M,M,MS,M,M,M,M,M,M,M,M,N,M,M,M,N,M
T,L,L,T,T,T,L,L,T,L,L,L,L,T,T,T,L,T,L,L,L,T,L,L,L,L,L,T,LS,T,T,L,L,L,L,T,L,L,L,T,L,TS,L,L,L,T,T,T,L,T,L,L,T,T,L,L,T,L,T,T,T,T,T,T,T,T,L,T,L,T
U,US,U,U,U,W,U,U,U,U,U,W,W,U,U,U,W,U,W,W,W,U,W,U,W,U,U,US,W,U,U,W,U,U,U,W,U,U,U,U,U,W,W,U,W,U,W,WS,U,W,U,U,U,W,U,WS,U,W,U,W,W,W,U,U,U,U,U,U,W,W
F,H,H,FS,F,F,F,F,H,F,F,H,H,FS,F,FS,H,H,H,F,H,F,F,F,F,F,H,F,F,H,FS,H,F,H,F,H,F,H,F,H,F,F,F,F,F,F,F,H,F,FS,F,F,H,F,F,H,H,F,FS,H,H,F,H,FS,H,F,H,H,H,H
O,OK,C,C,O,OS,O,O,C,O,O,O,O,C,C,C,C,O,O,C,O,O,C,C,O,C,CS,C,OS,C,C,O,C,C,O,OS,CS,C,O,O,O,O,O,C,C,OS,CS,C,C,C,O,O,O,C,CS,O,OS,O,O,C,O,O,C,C,O,O,O,O,O,CS
A,A,M,A,AS,AS,M,A,AS,A,AS,A,A,M,A,A,M,M,A,AS,M,A,A,AS,M,M,M,A,M,AS,M,A,M,AS,M,A,A,A,A,AS,A,M,AS,M,MS,M,AS,M,A,A,A,M,AS,M,AS,A,AS,AS,A,A,A,AS,AS,A,AS,M,A,AS,A,A
T,T,N,N,T,T,N,T,N,T,TS,N,T,T,T,N,N,N,T,T,T,T,N,T,N,T,N,N,T,T,T,T,T,N,T,T,T,N,T,T,N,T,T,N,T,T,N,N,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,N,T,N,N,T,T,N
O,N,OS,N,O,O,OS,O,O,OS,OS,O,O,N,N,O,O,OS,O,O,O,N,O,OS,O,N,N,O,N,O,N,O,O,O,O,OS,OS,N,O,N,O,O,O,O,N,OS,OS,N,OS,O,O,O,O,N,O,O,N,OS,OS,N,N,O,O,N,O,O,N,O,O,O
M,F,M,M,F,F,F,M,F,M,M,F,M,MS,M,M,M,M,MS,F,MS,F,M,M,M,F,M,M,F,M,MS,MS,M,M,M,M,F,M,M,F,M,M,M,F,F,M,M,F,M,F,M,M,M,MS,M,MS,M,M,F,M,F,M,M,M,M,MS,M,F,MS,M
SS,SS,S,SS,S,S,S,S,I,S,I,S,S,I,SS,SS,S,SS,I,S,I,S,S,S,S,I,SS,S,I,I,S,I,I,I,SS,I,SS,S,SS,I,S,S,I,S,S,S,I,I,I,S,S,SS,S,S,SS,S,S,S,S,SS,SS,S,S,SS,I,S,I,SS,I,SS
OMS,OM,OK,OM,OK,OK,OM,OM,OK,OM,OM,OK,OM,OK,OM,OM,OM,OK,OM,OMS,OM,OM,OM,OK,OMS,OM,OMS,OK,OMS,OM,OM,OM,OM,OK,OM,OM,OM,OK,OM,OM,OM,OK,OMS,OMS,OK,OK,OK,OK,OM,OM,OM,OM,OM,OMS,OM,OM,OMS,OK,OK,OM,OK,OM,OK,OM,OMS,OM,OK,OM,OM,OKS
G,G,P,G,G,G,G,G,G,G,G,P,G,G,GS,G,G,G,G,G,G,P,G,P,P,G,P,P,P,G,G,G,G,P,G,G,G,G,G,G,G,G,G,G,G,G,P,P,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,P,G,G,G,G,P
A,A,A,A,A,AS,AS,A,K,A,K,AS,A,K,AS,A,AS,K,A,A,A,A,AS,A,AS,A,A,AS,K,AS,A,A,A,A,A,A,A,AS,A,A,AS,A,AS,A,K,AS,A,K,AS,K,A,A,A,A,A,A,A,A,A,A,A,A,K,A,A,A,AS,AS,A,A
T,OS,T,O,T,O,O,O,O,O,O,T,OS,O,O,O,T,O,O,T,O,O,T,T,T,TS,T,O,O,O,T,O,OS,O,O,T,O,T,O,O,O,O,T,O,O,T,O,OS,T,T,O,O,T,T,O,O,T,O,O,T,T,O,T,O,T,O,O,O,O,T
A,W,A,A,W,A,A,W,A,A,A,W,A,W,A,A,A,W,A,A,A,A,W,A,A,W,A,W,A,W,A,A,A,W,AS,A,A,W,W,W,A,A,A,W,A,A,A,A,A,W,A,AS,A,A,W,A,A,A,A,W,W,W,W,A,W,A,W,A,A,A
84,63,106,104,122,99,65,,92,XX,100,78,125,99,64,102,99,138,127,100,109,160,106,111,100,140,105,113,100,120,100,109,120,101,112,72,97,107,,93,66,70,113,99,84,92,99,86,XX,110,110,112,78,65,123,135,98,99,91,87,78,60,100,105,XX,129,120,84,138,84
O,A,C,A,O,A,M,,A,A,A,O,A,C,C,A,M,O,A,Y,M,A,A,A,M,C,C,A,O,A,C,O,M,C,M,O,C,A,,A,O,A,A,C,M,O,C,C,M,A,A,M,A,M,C,A,A,O,A,C,A,A,A,A,A,M,O,O,C,C
Y,Y,Y,Y,N,N,N,,N,Y,N,N,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,N,Y,N,Y,Y,N,Y,N,Y,N,N,Y,N,N,Y,Y,,N,N,N,N,Y,Y,N,Y,N,Y,Y,Y,N,Y,Y,N,N,Y,N,N,Y,N,Y,Y,Y,N,N,N,N,Y,Y
Y,Y,N,Y,Y,N,Y,,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,N,Y,Y,N,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,N,,Y,N,Y,Y,Y,Y,Y,N,Y,Y,N,Y,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,N,Y,N,N,Y,Y,N,Y
N,Y,Y,Y,N,N,Y,,Y,Y,N,Y,Y,N,N,Y,Y,Y,Y,Y,N,Y,Y,N,N,Y,N,Y,Y,Y,N,Y,Y,N,Y,Y,N,Y,,Y,Y,Y,Y,Y,N,N,N,Y,N,Y,N,Y,Y,N,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y
N,,N,N,Y,Y,Y,,N,N,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,,Y,Y,Y,N,Y,Y,Y,Y,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,Y,Y,N,Y,N
