#MamaBear,#NeverBama1,12th Man,Aaron's Team,ADTESQ,After Further Review,Amy Senders,Backroom Deals,Best Logo Wins,Biscuit's Ball,Blind Dog's Bluff,Blindhog 2017,Bumblerooski,Cjepson,ConflictofInterest,Corgidawg,Cowboy,CUTIE PIE,D-bo,Dirk Diggler,Do. Or do not.,Doc,Eclipse,EM43,EVA,Fake News,Gkid7,GlamKam,Godiva,GoForBones,Gussysue,Invanka Trump,Jake and the Neverland Pirates,Katyusa,Krazy Koochies,LaDolceVida,LUCKY IN 2017,Maine Chic,O'Pooh,OSUX3 Fan,Putin's Dog,Red Five,SantaCruzBill,Spem in perpetuum,Spiker,T-Bone,Team Ellie Mae,Texas Giants,THE BEAVERS WON THE CIVIL WAR AND THAT IS ALL THAT MATTERS,The Dude,The force is strong with this one,Thetis,Troll Factory Inc,Trollmaster,Tyrone Swoopes,West Coast Bias,You are my only hope,Zena
T,C,T,C,T,T,T,C,T,T,T,C,T,T,T,T,T,T,T,T,T,T,TS,T,T,TS,T,T,T,T,T,T,T,TS,T,T,T,T,C,T,T,T,T,T,T,T,T,T,T,T,T,C,T,T,T,T,T,T
M,M,M,W,W,M,W,W,M,W,W,W,W,W,W,W,M,M,W,M,M,M,W,W,W,M,M,W,M,W,M,M,W,W,M,M,W,M,M,M,W,W,W,M,M,M,M,W,M,W,M,M,M,M,M,M,M,M
B,W,B,B,B,B,W,BS,W,B,B,W,B,W,B,BS,B,W,B,B,B,BS,B,B,B,BS,B,B,B,B,B,B,B,B,W,W,W,B,W,B,B,B,B,B,B,B,B,B,B,B,B,W,B,B,B,B,B,B
CS,C,C,C,C,C,CS,I,CS,C,C,I,C,C,C,C,CS,CS,C,C,C,C,CS,CS,C,I,CS,C,C,CS,C,CS,C,C,C,CS,CS,CS,I,I,C,C,CS,CS,C,C,C,I,C,CS,I,I,C,CS,CS,CS,C,C
E,E,O,E,E,O,O,O,O,E,O,E,O,O,O,O,E,E,O,O,O,E,E,E,O,E,O,E,O,O,O,E,E,O,E,E,E,O,E,E,E,O,O,E,E,E,E,O,E,E,O,O,O,E,O,E,O,E
L,N,L,N,L,L,L,L,N,N,L,L,L,N,L,N,N,N,L,N,N,N,L,L,N,L,N,N,L,L,L,N,L,N,N,N,N,N,L,L,N,N,L,N,N,N,L,L,L,L,N,L,N,N,L,N,N,L
T,T,T,O,O,T,T,O,O,O,O,T,T,O,O,O,O,T,T,O,O,O,O,T,T,O,O,T,O,O,T,T,T,O,T,O,T,O,O,O,O,T,O,O,O,O,T,O,T,T,O,T,T,T,O,O,O,O
H,H,M,H,H,M,M,M,H,H,H,H,M,H,M,H,M,M,M,H,H,M,H,H,H,H,H,H,M,M,M,M,H,M,H,M,H,H,M,H,H,M,M,M,H,H,H,M,H,H,H,H,M,M,H,H,H,H
MSS,MS,MS,MSS,MSS,MS,MS,MSS,M,MSS,MSS,M,MSS,MS,MS,MS,M,M,MSS,MSS,MSS,M,MS,MSS,MS,MS,MS,MSS,MS,MS,MS,MS,MS,MS,MS,M,MSS,MSS,M,M,MSS,MSS,MS,MS,MS,MS,MSS,MS,MS,MS,MSS,MS,MS,MS,MSS,MS,MSS,MS
M,M,B,B,M,M,M,M,B,M,M,M,M,M,B,M,M,M,M,M,B,M,M,M,M,B,B,B,B,B,B,M,B,B,B,M,B,B,BS,B,M,M,M,M,M,B,M,M,B,B,B,B,B,M,B,M,B,B
N,V,N,N,V,V,N,V,N,N,N,V,N,V,V,N,V,V,N,V,N,N,V,V,N,V,V,N,N,N,N,N,N,V,V,N,N,N,V,N,N,N,V,V,V,V,N,V,N,V,N,V,V,V,V,N,N,N
A,N,A,A,A,A,A,A,N,AS,A,AS,A,A,A,A,A,AS,A,N,AS,AS,A,A,A,A,A,A,A,A,A,A,A,A,A,A,AS,A,N,N,A,A,A,N,A,A,A,A,A,AS,AS,A,A,A,A,A,AS,A
T,T,T,T,T,W,T,TS,TS,TS,TS,W,TS,W,TS,TS,TS,T,T,T,T,W,T,T,T,TS,T,T,T,TS,TS,TS,T,T,T,TS,T,T,W,T,TS,T,T,TS,T,TS,T,T,T,T,T,T,T,T,T,T,T,W
W,WS,W,W,W,W,W,W,W,W,W,W,W,W,WS,W,W,W,W,M,W,W,W,W,WS,W,WS,W,W,W,W,W,M,W,M,W,W,W,M,W,W,WS,W,W,W,W,W,W,W,W,W,W,WS,W,W,W,W,W
B,B,BS,B,B,BSS,BS,BS,BS,BS,BS,B,B,BS,BS,BS,BS,BS,B,B,BS,B,B,B,BS,BS,B,BS,BS,BS,BS,BS,B,BS,B,BS,BS,BS,B,BS,BS,BS,BS,BS,BS,BS,B,B,BSS,BS,B,BSS,BS,BS,BS,BS,BS,BS
P,N,P,P,P,P,P,P,P,P,P,N,N,P,P,P,P,P,P,PS,N,P,N,P,P,P,N,P,P,P,P,P,P,P,P,P,P,P,N,N,P,P,P,P,P,P,P,P,P,P,P,N,P,P,P,N,P,PS
M,W,M,M,W,WS,M,M,W,W,M,W,W,M,M,M,W,M,M,M,M,M,W,W,M,W,W,W,M,M,M,M,M,M,M,W,W,M,W,M,W,W,W,W,W,M,W,W,W,W,W,W,M,W,M,W,W,M
