#MamaBear,4 Rackets,Adrian A,Assistant Coach Riley?,Batman,Bay City Rollers,beach lady,Bevo's Best,Blind Dog's Bluff,Blindhog2017,Bobbo,Brothers before others,Bumblerooski,Clutch City,Coog Crew,Cowboy,cutie pie,D-Bo,Duke Rules,Eclipse,Em214,Escalante,GlamKam,Go For Bones,Go For Broke,Godiva Nine!,hapagirl,I lost the password to my first bracket,Jake and the Neverland Pirates,Josh's Bracket,Julez,Juul,Katyusha,Kevin's bracket,Lightning,Luck be a lady,Lucky in 2018,Make Bowl Season Great Again,Maui Girl,MidWestWheat,Nurse Ratched,OSUX3,Pepper Bear,Pooh Bear,Putin's Dog,Rapacke's Bracket,Nerf Herder,Santa Cruz Bill,Santa's Helper,Sgt. Pepper,Sorbet,Static,Still a Beaver Believer,Superman,Swampdonkey,Texas Big Red,The Pick Doctor,The Striker,The Water and The Well,Thunder,Trojans,Tucker,UrbranLegend,Victorious Secret,War Beaver,War Eagle,Warren Mooned Me,West Coast Bias,Winning Jeff,Yoda,YOLO Pups
F,F,F,F,F,F,F,F,F,U,F,F,F,F,F,F,F,F,U,F,F,F,F,F,F,F,U,F,U,F,F,U,U,U,F,U,F,U,F,F,F,F,F,U,F,F,F,F,U,U,F,F,F,F,U,F,F,F,F,F,FS,F,F,F,F,F,F,U,U,F,U
F,U,F,U,F,F,F,F,U,F,U,U,F,U,F,F,U,F,U,F,F,F,F,F,F,U,F,F,U,U,F,U,U,U,F,U,U,U,F,F,F,F,F,U,F,U,F,F,F,F,F,F,U,F,F,F,U,F,U,F,F,F,U,F,U,U,F,F,U,U,U
F,F,F,F,F,F,F,U,F,F,F,U,F,U,U,F,F,F,F,F,F,F,F,F,F,F,F,U,F,U,F,F,F,F,F,F,F,F,FS,F,F,U,F,U,F,F,F,F,FS,US,F,F,U,F,F,U,U,FS,U,F,U,F,F,F,F,F,F,F,U,F,F
F,F,F,F,F,F,F,F,F,F,U,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,U,F,F,F,US,F,F,F,F,F,F,F,U,F,F,F,F,F,U,F,F,U,F,U,F,F,F,F,F,F,F,F,U,F,F,F,F,F,F,F
F,U,U,U,F,F,F,U,F,U,U,F,F,U,F,F,F,F,F,F,F,F,F,F,F,F,F,F,U,F,F,F,F,F,F,F,U,F,F,F,F,F,F,U,F,F,F,U,F,F,F,F,F,F,F,U,U,F,U,F,F,U,U,F,F,F,U,U,F,U,F
FS,F,F,FS,FS,FS,F,FS,F,U,FS,FS,FS,FS,FS,FS,F,FS,F,FS,FS,FS,F,F,FS,FS,F,FS,FS,FS,F,FS,FS,FS,FS,U,U,FS,F,FS,FS,F,FS,U,F,F,FS,FS,FS,U,FS,FS,F,FS,FS,FS,FS,FS,U,FS,FS,FS,F,F,FS,F,U,FS,F,F,F
U,U,U,F,F,F,U,F,FS,F,F,U,F,U,U,U,U,F,U,U,F,F,F,FS,F,F,U,U,F,F,U,U,F,F,U,U,F,U,U,U,F,F,F,U,F,F,U,F,F,F,F,F,F,U,F,F,F,F,F,F,F,F,U,F,U,U,F,U,F,F,F
U,U,F,U,F,F,F,F,F,U,F,U,FS,F,U,U,F,F,U,F,U,F,F,F,F,F,F,F,F,F,F,F,F,U,F,F,U,F,F,U,F,F,F,U,FS,F,U,F,U,F,F,U,U,F,U,F,FS,F,U,F,F,F,F,F,F,F,U,U,U,F,F
U,F,U,F,U,F,U,U,F,F,U,U,F,F,U,F,U,U,U,U,U,U,U,U,U,F,U,F,F,F,F,F,U,U,U,U,U,F,U,U,U,F,F,US,U,F,F,F,F,U,F,F,U,F,F,U,U,U,F,F,U,U,F,U,U,F,U,F,F,F,F
F,F,F,U,U,U,F,FS,F,U,F,FS,F,F,F,F,F,F,US,F,F,F,F,FS,F,U,F,F,F,F,F,U,F,F,F,U,U,U,F,F,F,U,F,U,F,F,U,F,U,F,F,F,F,F,U,F,U,F,F,F,F,F,F,U,FS,F,F,F,U,U,F
