1,Myrtle Beach Bowl,11,Marshall,UCONN,1,1
2,Famous Idaho Potato Bowl,4,San Jose State,Eastern Michigan,1,0
3,Boca Raton Bowl,4.5,Toledo,Liberty,1,1
4,New Orleans Bowl,4.5,South Alabama,Western Kentucky,1,0
5,Armed Forces Bowl,5.5,Baylor,Air Force,1,0
6,Independence Bowl,7,Houston,Louisiana-Lafayette,1,1
7,Gasparilla Bowl,1,Wake Forest,Missouri,1,1
8,Hawaii Bowl,7,San Diego State,Middle Tennessee,1,0
9,Quick Lane Bowl,3.5,Bowling Green,New Mexico State,1,0
10,Camellia Bowl,3.5,Georgia Southern,Buffalo,1,0
11,First Responder Bowl,7,Memphis,Utah State,1,1
12,Birmingham Bowl,8,East Carolina,Coastal Carolina,1,1
13,Guaranteed Rate Bowl,3,Wisconsin,Oklahoma State,1,1
14,Military Bowl,3,Duke,UCF,1,-1
15,Liberty Bowl,3,Arkansas,Kansas,1,-1
16,Holiday Bowl,14,Oregon,North Carolina,1,-1
17,Texas Bowl,3.5,Ole Miss,Texas Tech,1,-1
18,Pinstripe Bowl,7.5,Minnesota,Syracuse,1,-1
19,Cheez-It Bowl,8,Florida State,Oklahoma,1,-1
20,Alamo Bowl,4,Texas,Washington,1,-1
21,Duke's Mayo Bowl,1,Maryland,NC State,1,-1
22,Sun Bowl,3.5,UCLA,Pitt,1,-1
23,Gator Bowl,2,Notre Dame,South Carolina,1,-1
24,Arizona Bowl,0,Ohio,Wyoming,1,-1
25,Orange Bowl,6.5,Clemson,Tennessee,2,-1
26,Sugar Bowl,6.5,Alabama,Kansas State,2,-1
27,Music City Bowl,2.5,Iowa,Kentucky,1,-1
28,Fiesta Bowl,7.5,Michigan,TCU,2,-1
29,Peach Bowl,6.5,Georgia,Ohio State,2,-1
30,Outback Bowl,2,Illinois,Mississippi State,1,-1
31,Citrus Bowl,14.5,LSU,Purdue,1,-1
32,Cotton Bowl,2.5,USC,Tulane,2,-1
33,Rose Bowl,2.5,Utah,Penn State,2,-1
