# ID,Bowl,Line,Favorite,Underdog,Points,Result
1,Myrtle Beach Bowl,3.5,Georgia Southern,Ohio,1,-1
2,New Orleans Bowl,3,Jacksonville State,Louisiana,1,-1
3,Cure Bowl,6.5,Appalachian State,Miami (OH),1,-1
4,New MexicoBowl,3.5,New Mexico State,Fresno State,1,-1
5,LA Bowl,4,UCLA,Boise State,1,-1
6,Independence Bowl,3,Texas Tech,California,1,-1
7,Famous Toastery Bowl,2.5,Old Dominion,Western Kentucky,1,-1
8,Frisco Bowl,9.5,UTSA,Marshall,1,-1
9,Boca Raton Bowl,4.5,Syracuse, USF ,1,-1
10,Gasparilla Bowl,4.5,UCF,Georgia Tech,1,-1
11,Camellia Bowl,1.5,Arkansas State,Northern Illinois,1,-1
12,Birmingham Bowl,7,Troy,Duke,1,-1
13,Armed Forces Bowl,2.5,James Madison,Air Force,1,-1
14,IdahoPotato Bowl,2.5,Georgia State,Utah State,1,-1
15,68 Ventures Bowl,15.5,South Alabama,Eastern Michigan,1,-1
16,Las Vegas Bowl,7.5,Utah,Northwestern,1,-1
17,HawaiiBowl,9.5,San Jose State,Coastal Carolina,1,-1
18,Quick Lane Bowl,5.5,Minnesota,Bowling Green,1,-1
19,First Responder Bowl,4.5,Texas State,Rice,1,-1
20,Guaranteed Rate Bowl,11.5,Kansas,UNLV,1,-1
21,Military Bowl,7.5,Virginia Tech,Tulane,1,-1
22,Duke's Mayo Bowl,3.5,West Virginia,North Carolina,1,-1
23,Holiday Bowl,7.5,Louisville,USC,1,-1
24,TexasBowl,3.5,Texas A&M,Oklahoma State,1,-1
25,Fenway Bowl,10.5,SMU,Boston College,1,-1
26,Pinstripe Bowl,3.5,Miami,Rutgers,1,-1
27,Pop-Tarts Bowl,3.5,Kansas State,North Carolina State,1,-1
28,Alamo Bowl,3.5,Arizona,Oklahoma,1,-1
29,Gator Bowl,7,Clemson,Kentucky,1,-1
30,Sun Bowl,10.5,Notre Dame,Oregon State,1,-1
31,LibertyBowl,6.5,Iowa State,Memphis,1,-1
32,Cotton Bowl,2.5,Ohio State,Missouri,2,-1
33,Peach Bowl,4.5,Penn State,Ole Miss,2,-1
34,Music City Bowl,2.5,Auburn,Maryland,1,-1
35,Orange Bowl,14,Georgia,Florida State,2,-1
36,Arizona Bowl,1.5,Toledo,Wyoming,1,-1
37,ReliaQuest Bowl,10.5,LSU,Wisconsin,1,-1
38,Fiesta Bowl,15.5,Oregon, Liberty ,2,-1
39,Citrus Bowl,7,Tennessee,Iowa,1,-1
40,Rose Bowl,1.5,Michigan,Alabama,2,-1
41,Sugar,4.5,Texas,Washington,2,-1
